DescricaoObraServico,CodigoObraServico,ValorObra,NomeOrgao,CidadeSedeOrgao,TipoSituacaoObra,AndamentoObraServico,NomeCredor,TipoIntervencao,TipoSetorBeneficiario,TipoRegimeExecução,TipoObraServico,TipoAcaoEngenharia,TipoCategoriaObraServico,Latitude,Longitude,CidadeObra,Populacao,CodigoIBGE,DataColeta
"REFORMA E AMPLIAÇÃO DOS POSTOS DE SAÚDE DAS COMUNIDADES VACA BRAVA, BULHÕES E GARGALHEIRAS, NA ZONA RURAL DO MUNICÍPIO DE ACARI/RN",337.003.2021,,PREFEITURA MUNICIPAL DE ACARI,ACARI,CADASTRADA,,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,POSTO DE SAÚDE,OBRA,SAÚDE,-6.42453,-36.60773,ACARI,11035,2400109,2021-07-23 19:06:31
"REFORMA E AMPLIAÇÃO DOS POSTOS DE SAÚDE DAS COMUNIDADES VACA BRAVA, BULHÕES E GARGALHEIRAS, NA ZONA RURAL DO MUNICÍPIO DE ACARI/RN",337.003.2021,,PREFEITURA MUNICIPAL DE ACARI,ACARI,CADASTRADA,,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,POSTO DE SAÚDE,OBRA,SAÚDE,-6.38489,-36.57861,ACARI,11035,2400109,2021-07-23 19:06:31
"REFORMA E AMPLIAÇÃO DOS POSTOS DE SAÚDE DAS COMUNIDADES VACA BRAVA, BULHÕES E GARGALHEIRAS, NA ZONA RURAL DO MUNICÍPIO DE ACARI/RN",337.001.2021,,PREFEITURA MUNICIPAL DE ACARI,ACARI,CADASTRADA,,,OUTROS,OUTRO,EXECUÇÃO INDIRETA,POSTO DE SAÚDE,OBRA,SAÚDE,-6.42359,-36.61002,ACARI,11035,2400109,2021-07-23 19:06:31
"PAVIMENTAÇÃO COM PARALELEPÍPEDOS DAS RUAS EDUARDO GALVÃO, INÊS MEDEIROS, FRANCISCO PIRES DE ARAUJO, MANOEL ROSENDO DOS SANTOS, COMPLEMENTO DAS RUAS MANOEL APRÍGIO GALVÃO, GERALDO GUINE E TEÓFILO DANTAS, EM ACARI/RN",337.002.2021,190843.54,PREFEITURA MUNICIPAL DE ACARI,ACARI,CADASTRADA,,CONSTRUTORA ASSU EIRELI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.43557,-36.63489,ACARI,11035,2400109,2021-07-23 19:06:31
"PAVIMENTAÇÃO COM PARALELEPÍPEDOS DAS RUAS EDUARDO GALVÃO, INÊS MEDEIROS, FRANCISCO PIRES DE ARAUJO, MANOEL ROSENDO DOS SANTOS, COMPLEMENTO DAS RUAS MANOEL APRÍGIO GALVÃO, GERALDO GUINE E TEÓFILO DANTAS, EM ACARI/RN",337.002.2021,190843.54,PREFEITURA MUNICIPAL DE ACARI,ACARI,CADASTRADA,,CONSTRUTORA ASSU EIRELI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.4358,-36.63534,ACARI,11035,2400109,2021-07-23 19:06:31
"PAVIMENTAÇÃO COM PARALELEPÍPEDOS DAS RUAS EDUARDO GALVÃO, INÊS MEDEIROS, FRANCISCO PIRES DE ARAUJO, MANOEL ROSENDO DOS SANTOS, COMPLEMENTO DAS RUAS MANOEL APRÍGIO GALVÃO, GERALDO GUINE E TEÓFILO DANTAS, EM ACARI/RN",337.002.2021,190843.54,PREFEITURA MUNICIPAL DE ACARI,ACARI,CADASTRADA,,CONSTRUTORA ASSU EIRELI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.43517,-36.63294,ACARI,11035,2400109,2021-07-23 19:06:31
"CONTRATAÇÃO DE EMPRESA DE CONSTRUÇÃO CIVIL PARA PAVIMENTAÇÃO COM PARALELEPÍPEDOS E DRENAGEM SUPERFICIAL DAS RUAS NELSON FELICIANO, ENEAS PIRES GALVÃO, FRANCISCO MEIRA E SÁ, DR. SILVINO BEZERRA FILHO E TRAVESSA PROFESSORA NATÁLIA ALVES DANTAS, EM ACARI/RN",337.005.2021,234294.66,PREFEITURA MUNICIPAL DE ACARI,ACARI,CADASTRADA,,JUDSON G. DA SILVA SERVIÇOS E CONSTRUÇÕES EIRELLI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,UNIDADES ADMINISTRATIVAS,OBRA,PRÉDIOS PÚBLICOS,-6.43052,-36.64149,ACARI,11035,2400109,2021-07-23 19:06:31
"CONTRATAÇÃO DE EMPRESA DE CONSTRUÇÃO CIVIL PARA A PAVIMENTAÇÃO COM PARALELEPÍPEDOS E DRENAGEM SUPERFICIAL DO PROLONGAMENTO DA RUA DES. SILVINO BEZERRA FILHO, RUA GABRIEL SEVERIANO DE ARAÚJO E RUAS PROJETADAS 1 E 2, LOCALIZADAS NO BAIRRO PETRÓPOLIS EM ACARI/RN",337.006.2021,195018.97,PREFEITURA MUNICIPAL DE ACARI,ACARI,CADASTRADA,,JUDSON G. DA SILVA SERVIÇOS E CONSTRUÇÕES EIRELLI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.44539,-36.63907,ACARI,11035,2400109,2021-07-23 19:06:31
"CONTRATAÇÃO DE EMPRESA DE CONSTRUÇÃO CIVIL PARA A PAVIMENTAÇÃO COM PARALELEPÍPEDOS E DRENAGEM SUPERFICIAL DO PROLONGAMENTO DA RUA DES. SILVINO BEZERRA FILHO, RUA GABRIEL SEVERIANO DE ARAÚJO E RUAS PROJETADAS 1 E 2, LOCALIZADAS NO BAIRRO PETRÓPOLIS EM ACARI/RN",337.006.2021,195018.97,PREFEITURA MUNICIPAL DE ACARI,ACARI,CADASTRADA,,JUDSON G. DA SILVA SERVIÇOS E CONSTRUÇÕES EIRELLI,OUTROS,OUTRO,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.44539,-36.63907,ACARI,11035,2400109,2021-07-23 19:06:31
"CONTRATAÇÃO DOS SERVIÇOS TÉCNICOS PROFISSIONAIS ESPECIALIZADOS DE ENGENHARIA PARA A REALIZAÇÃO DE ESTUDOS E PROJETOS, VISANDO A CONSTRUÇÃO E IMPLANTAÇÃO DA CIDADE DA MODA NO MUNICÍPIO DE ACARI/RN",337.008.2021,386000,PREFEITURA MUNICIPAL DE ACARI,ACARI,CADASTRADA,,JOTA BARROS PROJETOS E ASSESSORIA EIRELI - EPP,CONSTRUÇÃO,ADMINISTRAÇÃO CENTRAL,EXECUÇÃO INDIRETA,"ESTUDOS TÉCNICOS, PLANEJAMENTOS E PROJETOS BÁSICOS OU EXECUTIVOS",SERVIÇO TÉCNICO PROFISSIONAL ESPECIALIZADO,OUTROS,-6.44435,-36.63606,ACARI,11035,2400109,2021-07-23 19:06:31
